Date,Open,High,Low,Close,Adj Close,Volume
2017-10-19,54700,54700,52980,52980,45872.86719,12108700
2017-10-20,52800,54100,52800,53840,46617.50391,8027050
2017-10-23,54600,54640,54000,54300,47015.78906,8311050
2017-10-24,54700,54780,54040,54040,46790.67188,5806050
2017-10-25,54040,54420,53700,53900,46669.44531,5882850
2017-10-26,53720,53900,52400,52400,45370.67188,9776550
2017-10-27,52400,53320,52140,53080,45959.45313,7392500
2017-10-30,53780,54320,53700,54040,46790.67188,8196150
2017-10-31,54060,55440,53500,55080,47691.15625,13381550
2017-11-01,57500,57500,56180,57220,49544.07422,14510250
2017-11-02,57500,57520,56760,57060,49405.54297,10721050
2017-11-03,57060,57140,55860,56380,48816.76172,9935800
2017-11-06,56380,56500,55340,56380,48816.76172,9000950
2017-11-07,56380,56920,55860,56100,48574.33203,7464550
2017-11-08,56100,57060,55860,56760,49145.79688,8520200
2017-11-09,56920,56920,55900,56340,48782.13672,11994050
2017-11-10,55800,56540,55780,56400,48834.08984,6748800
2017-11-13,56400,56800,56100,56380,48816.76172,8806650
2017-11-14,56380,56740,55920,55920,48418.47656,6725000
2017-11-15,55920,56320,55320,55340,47916.27734,8816950
2017-11-16,55440,56000,55400,55780,48297.25781,7640700
2017-11-17,56400,56880,55820,55820,48331.88672,10733150
2017-11-20,55900,55980,55200,55200,47795.05859,9472750
2017-11-21,55400,55840,55280,55280,47864.32813,10324700
2017-11-22,55980,56200,55620,55960,48453.11328,7952950
2017-11-23,55960,55980,55020,55300,47881.65234,6272900
2017-11-24,55300,55500,55180,55460,48020.17969,4536200
2017-11-27,55360,55360,52640,52640,45578.48047,18128900
2017-11-28,52700,53280,51720,53280,46132.62109,13499400
2017-11-29,53200,53240,52500,52600,45543.83984,9590250
2017-11-30,50800,51860,50200,50800,43985.30469,29634150
2017-12-01,50800,51780,50800,50840,44019.95313,12868600
2017-12-04,50840,51340,50020,51340,44452.87109,14865050
2017-12-05,50600,51300,50280,51260,44383.59766,9326550
2017-12-06,51260,51560,50020,50020,43309.94531,10889200
2017-12-07,50040,50980,50020,50740,43933.35547,11065600
2017-12-08,51360,52000,51040,52000,45024.32422,11290450
2017-12-11,52000,52040,51500,51780,44833.83984,8125850
2017-12-12,51820,52100,51660,52100,45110.91797,8765050
2017-12-13,52100,52100,51100,51320,44435.55469,11333700
2017-12-14,51320,52280,51060,51060,44210.44141,20310400
2017-12-15,51240,51480,50520,50620,43829.45703,14928550
2017-12-18,50620,51240,50620,51200,44331.65625,7350250
2017-12-19,51540,52080,51520,51560,44643.35547,11978600
2017-12-21,51000,51060,49100,49140,42548.00391,15624300
2017-12-22,49400,49960,49240,49700,43032.86328,11199650
2017-12-26,49760,50100,48200,48200,41734.09766,16039850
2017-12-27,48960,49560,48460,49360,43123.19531,10743600
2017-12-28,49560,50960,49500,50960,44521.02344,8985450
2018-01-02,51380,51400,50780,51020,44573.44141,8474250
2018-01-03,52540,52560,51420,51620,45097.62891,10013500
2018-01-04,52120,52180,50640,51080,44625.85156,11695450
2018-01-05,51300,52120,51200,52120,45534.45313,9481150
2018-01-08,52400,52520,51500,52020,45447.08984,8383650
2018-01-09,51460,51720,49980,50400,44031.78516,18013600
2018-01-10,50500,50520,48640,48840,42668.89453,18566800
2018-01-11,48200,49260,48020,48240,42144.70313,25123800
2018-01-12,48240,48480,46760,48200,42109.76563,27270450
2018-01-15,48800,48980,47920,48540,42406.80078,10096000
2018-01-16,48760,50140,48620,50000,43682.32031,20389650
2018-01-17,50020,50020,49060,49620,43350.33984,11053050
2018-01-18,50020,50640,49820,49900,43594.96484,14848850
2018-01-19,50380,50380,49040,49320,43088.25,9219950
2018-01-22,48640,48680,47960,48240,42144.70313,12520900
2018-01-23,48660,49160,48300,49160,42948.46094,13532700
2018-01-24,48860,49700,48560,49340,43105.71484,9550500
2018-01-25,49220,50360,49160,50260,43909.46484,11160350
2018-01-26,50500,50780,49840,50780,44363.76172,10350100
2018-01-29,51200,51480,50900,51220,44748.17578,11838800
2018-01-30,50440,50640,49780,49800,43507.59375,12284550
2018-01-31,50020,54140,49600,49900,43594.96484,64681300
2018-02-01,50620,50960,49720,49820,43525.07031,27609450
2018-02-02,49380,49400,47700,47700,41672.93359,29260350
2018-02-05,46500,48320,46000,47920,41865.14063,28357900
2018-02-06,46600,47920,46580,47420,41428.32031,19406450
2018-02-07,48240,48260,45800,45800,40013,23448050
2018-02-08,46120,46620,45980,46000,40187.74609,23251050
2018-02-09,44440,45180,44420,44700,39051.99219,17465000
2018-02-12,45100,46320,45040,45720,39943.12109,15754950
2018-02-13,46200,48060,46200,47540,41533.15234,18923250
2018-02-14,48080,49100,47940,49000,42808.67969,18905900
2018-02-19,49800,49800,47860,48380,42267.01953,15353450
2018-02-20,48040,48160,47220,47400,41410.84766,10122600
2018-02-21,47280,47580,46840,47280,41306.00781,12880200
2018-02-22,47260,47260,46760,46760,40851.71484,8869950
2018-02-23,46760,47800,46760,47220,41253.58594,12423300
2018-02-26,47280,47560,47080,47380,41393.36719,9560650
2018-02-27,48360,48380,47380,47380,41393.36719,9830550
2018-02-28,47380,48100,47000,47060,41113.80469,15162350
2018-03-02,46580,46800,46000,46020,40205.20703,13265500
2018-03-05,45820,46160,45080,45200,39488.82422,14100950
2018-03-06,45920,47100,45820,47020,41078.85547,15423350
2018-03-07,48200,48900,47220,48620,42476.69922,21427050
2018-03-08,49200,49480,48080,49200,42983.40234,19463650
2018-03-09,49440,50540,49240,49740,43455.17969,14304400
2018-03-12,50560,50780,49580,49740,43455.17969,8688950
2018-03-13,50760,51660,50360,51660,45132.58203,20098700
2018-03-14,51020,52000,51000,51760,45219.94141,12713250
2018-03-15,52000,52020,51020,51540,45027.73828,8882450
2018-03-16,51220,51420,50240,51140,44678.28125,12184900
2018-03-19,50620,51340,50440,50740,44328.81641,8218850
2018-03-20,50700,51200,50100,51200,44730.70313,8193250
2018-03-21,51780,51780,51060,51060,44608.39844,8905200
2018-03-22,51060,51780,51040,51780,45237.41016,8454100
2018-03-23,50340,50720,49600,49720,43437.70313,14854950
2018-03-26,49420,50280,49040,50280,43926.9375,10057750
2018-03-27,50320,50460,49080,49980,43664.84766,11874000
2018-03-28,49100,49100,48340,48700,42546.58984,15159450
2018-03-29,48700,49560,48320,49040,43157.33594,10067000
2018-03-30,49080,49900,49080,49220,43315.73828,7777100
2018-04-02,49000,49220,48500,48540,42717.30469,7115650
2018-04-03,47880,48140,47280,48120,42347.69141,12768250
2018-04-04,48160,48260,46920,46920,41291.64453,12384200
2018-04-05,47400,49380,47340,48740,42893.31641,13245600
2018-04-06,48000,48580,47400,48400,42594.10547,12532700
